date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:54:48	41953/41953	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:41%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-sliders.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-sliders.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:48	34837/34837	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:25%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-carousels.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-carousels.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:49	59383/59383	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:21%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-accordions.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-accordions.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:49	31182/31182	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:36%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-nestable.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-nestable.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:50	34606/34606	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:42%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-tree-view.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-tree-view.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:50	55261/55261	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:40%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-scrollable.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-scrollable.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:50	32964/32964	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:28%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-grid-system.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-grid-system.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:51	68347/68347	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:26%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-charts.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-charts.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:51	72419/72419	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:23%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-animations-appear.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-animations-appear.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
15:54:52	43170/43170	---M-Z	200	added ('OK')	text/html	date:Thu,%2017%20Sep%202015%2018:54:23%20GMT	http://preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-animations-hover.html	C:/xampp_1/htdocs/shital/erp_temp1/preview.oklerthemes.com/porto-admin/1.4.2/ui-elements-animations-hover.html	(from http://preview.oklerthemes.com/porto-admin/1.4.2/index.html)
